LeadID,LeadDate,Source,City,Budget,PropertyType,Project,SalesOwner
1,2024-06-29,Google Ads,Noida,11800000,Apartment,Urban Square,Riya Kapoor
2,2024-12-13,99acres,Gurgaon,11600000,Plot,Palm Towers,Priya Kapoor
3,2024-06-16,Channel Partner,Gurgaon,16100000,Villa,Green Valley,Shefali Mehta
4,2024-08-22,Google Ads,Noida,14100000,Villa,Sky Residency,Sachin Tendulkar
5,2024-03-27,Google Ads,Mumbai,6400000,Apartment,Palm Towers,Neha Singh
6,2024-02-21,Facebook,Bangalore,19500000,Apartment,Green Valley,Shefali Mehta
7,2024-12-15,Referral,Hyderabad,4300000,Apartment,Sky Residency,Sachin Tendulkar
8,2024-05-25,Walk-in,Gurgaon,5500000,Apartment,Palm Towers,Neha Singh
9,2024-01-06,Facebook,Bangalore,6900000,Apartment,Urban Square,Rohit Sharma
10,2024-10-27,Referral,Gurgaon,18100000,Apartment,Elite Heights,Praveen Tambe
11,2024-02-05,Google Ads,Gurgaon,8700000,Villa,Elite Heights,Rohit Sharma
12,2024-04-19,Google Ads,Hyderabad,15100000,Villa,Palm Towers,Neha Singh
13,2024-06-25,Walk-in,Pune,7500000,Apartment,Palm Towers,Aman Sharma
14,2024-07-21,Google Ads,Noida,19300000,Apartment,Sky Residency,Priya Kapoor
15,2024-01-24,Google Ads,Gurgaon,6100000,Apartment,Elite Heights,Rohit Sharma
16,2024-03-01,Facebook,Pune,19000000,Apartment,Sky Residency,Neha Singh
17,2024-03-23,Referral,Gurgaon,6600000,Villa,Palm Towers,Riya Kapoor
18,2024-02-28,Google Ads,Bangalore,8500000,Villa,Green Valley,Shefali Mehta
19,2024-05-27,Facebook,Pune,3800000,Apartment,Urban Square,Shefali Mehta
20,2024-09-17,Google Ads,Gurgaon,3400000,Apartment,Sky Residency,Riya Kapoor
21,2024-04-05,99acres,Gurgaon,12900000,Villa,Palm Towers,Sachin Tendulkar
22,2024-02-19,Channel Partner,Noida,15200000,Plot,Sky Residency,Neha Singh
23,2024-12-15,Channel Partner,Mumbai,16000000,Apartment,Sky Residency,Praveen Tambe
24,2024-04-22,Google Ads,Gurgaon,12900000,Villa,Sky Residency,Ravi Mehta
25,2024-05-07,Referral,Gurgaon,17000000,Plot,Palm Towers,Praveen Tambe
26,2024-06-20,Google Ads,Pune,12300000,Villa,Elite Heights,Neha Singh
27,2024-03-04,Google Ads,Bangalore,8800000,Villa,Urban Square,Neha Singh
28,2024-09-20,Google Ads,Bangalore,3200000,Villa,Elite Heights,Shefali Mehta
29,2024-05-28,Facebook,Mumbai,19600000,Plot,Sky Residency,Ravi Mehta
30,2024-06-18,Housing,Bangalore,12900000,Apartment,Palm Towers,Sachin Tendulkar
31,2024-08-09,Google Ads,Mumbai,13200000,Apartment,Sky Residency,Riya Kapoor
32,2024-12-15,Housing,Pune,18800000,Villa,Elite Heights,Rohit Sharma
33,2024-02-07,Google Ads,Bangalore,5300000,Plot,Palm Towers,Ravi Mehta
34,2024-07-30,Google Ads,Noida,3900000,Plot,Palm Towers,Viral Kohli
35,2024-10-03,99acres,Noida,17200000,Apartment,Urban Square,Viral Kohli
36,2024-11-07,Channel Partner,Noida,7300000,Plot,Elite Heights,Ravi Mehta
37,2024-01-13,Google Ads,Noida,17500000,Plot,Palm Towers,Riya Kapoor
38,2024-12-08,Referral,Noida,11000000,Apartment,Urban Square,Shefali Mehta
39,2024-11-29,Google Ads,Mumbai,11400000,Apartment,Sky Residency,Ravi Mehta
40,2024-07-28,Channel Partner,Pune,10900000,Villa,Palm Towers,Sachin Tendulkar
41,2024-09-06,Google Ads,Pune,12000000,Apartment,Palm Towers,Priya Kapoor
42,2024-06-26,Facebook,Noida,7700000,Villa,Palm Towers,Priya Kapoor
43,2024-06-23,Google Ads,Gurgaon,8000000,Villa,Sky Residency,Shefali Mehta
